id,title,releaseDate,ratingValue,ratingCount,genres,duration,url,posterUrl,description
969681,Spider-Man: Brand New Day,29 Juli 2026,7.9,2547,Science Fiction | Action | Adventure,,https://www.themoviedb.org/movie/969681,https://image.tmdb.org/t/p/w500/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg,"Empat tahun setelah peristiwa Spider-Man: No Way Home, Peter Parker sudah tidak ada lagi dan Spider-Man kini berada di puncak kemampuannya dalam menjaga Kota New York tetap aman. Semuanya berjalan dengan baik hingga serangkaian kejahatan yang tidak biasa menyeret Spider-Man ke dalam jaring misteri yang lebih besar dari apa pun yang pernah ia hadapi sebelumnya. Untuk menghadapi apa yang akan datang, Spider-Man tidak hanya harus berada dalam kondisi fisik dan mental terbaiknya, tetapi juga harus siap menghadapi konsekuensi dari masa lalunya!"
1204680,Coyote vs. Acme,20 Agustus 2026,7.662,271,Comedy | Adventure | Family,,https://www.themoviedb.org/movie/1204680,https://image.tmdb.org/t/p/w500/orkLtdgMGiO9rTVMqJ1kKwrnup1.jpg,
1368337,The Odyssey,15 Juli 2026,7.999,3573,Adventure | Action | Fantasy,,https://www.themoviedb.org/movie/1368337,https://image.tmdb.org/t/p/w500/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg,"Odysseus, raja legendaris Yunani dari Ithaca, memulai perjalanan panjang dan berbahaya untuk pulang setelah Perang Troya, yang mengisahkan perjumpaannya dengan makhluk-makhluk mitologis seperti Cyclops Polyphemus, para Siren, dan penyihir-dewi Circe."
1288445,Mutiny,19 Agustus 2026,6.353,337,Action | Thriller,,https://www.themoviedb.org/movie/1288445,https://image.tmdb.org/t/p/w500/pu2VxGlpGwffOx292w18b1tv96j.jpg,
1375646,군체,21 Mei 2026,8.11,738,Action | Horror | Science Fiction,,https://www.themoviedb.org/movie/1375646,https://image.tmdb.org/t/p/w500/thK6glS5pklrlijsgSN6Hw9GLQK.jpg,
1386315,The Runner,3 September 2026,6.714,359,Thriller | Action,,https://www.themoviedb.org/movie/1386315,https://image.tmdb.org/t/p/w500/uxCaBoYXsDC4A0SqTm3SISj0OwK.jpg,"Dalam film triler psikologis The Runner, Maia Marten, seorang pengacara London yang pintar, merasa hidupnya hancur oleh satu telepon pada lari paginya: putranya diculik. Agar putranya kembali, dia harus terus berlari, mematuhi setiap perintah kejam dan tak memercayai siapa pun - tiap detik adalah ujian sejauh apa seorang ibu akan berjuang untuk menyelamatkan anaknya."
1108427,Moana,8 Juli 2026,6.9,438,Family | Fantasy | Comedy | Adventure,,https://www.themoviedb.org/movie/1108427,https://image.tmdb.org/t/p/w500/gaet1xQ2nxrG0V1Ep9T20ZMNEIC.jpg,
1137844,Mayday,3 September 2026,7.929,360,Action | Comedy,,https://www.themoviedb.org/movie/1137844,https://image.tmdb.org/t/p/w500/hVXjX1jLZ1ljFSNGXpjJfbTUOa7.jpg,"Saat seorang pilot Angkatan Laut AS dalam misi rahasia selama Perang Dingin terjebak di belakang garis musuh, satu-satunya peluang untuk bertahan hidup adalah menjalin aliansi dengan seorang mantan agen KGB eksentrik."
1506560,Clash of the Thundermans,3 September 2026,6.75,40,TV Movie | Family | Science Fiction | Action | Comedy,,https://www.themoviedb.org/movie/1506560,https://image.tmdb.org/t/p/w500/16oqRrWVzQm6qdGfBxvziZ2UiMT.jpg,
1285366,愛のぬくもり,6 Juli 2024,5.2,5,Romance,,https://www.themoviedb.org/movie/1285366,https://image.tmdb.org/t/p/w500/3r0O6BW9USoZ9mteCVyNKMQriRL.jpg,
1393326,Hantu Dalam Sel,16 April 2026,7.2,47,Horror | Comedy | Thriller,,https://www.themoviedb.org/movie/1393326,https://image.tmdb.org/t/p/w500/gF6Ijrq5bixh4qemCuroRwXtbBc.jpg,
1339713,Obsession,13 Mei 2026,8.195,5397,Horror | Thriller,,https://www.themoviedb.org/movie/1339713,https://image.tmdb.org/t/p/w500/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,"Setelah menghancurkan ""One Wish Willow"" yang misterius untuk memenangkan hati gebetannya, seorang romantis yang putus asa menemukan dirinya mendapatkan apa yang dia minta tetapi segera menemukan bahwa beberapa keinginan datang dengan harga yang gelap dan menyeramkan."
1516698,The Last Sunrise,26 Agustus 2026,6.6,142,Romance | Drama,,https://www.themoviedb.org/movie/1516698,https://image.tmdb.org/t/p/w500/3PWJqDfygN0YNNjWsDUOXclCp3h.jpg,"Berdasarkan novel kesayangan kita, The Last Sunrise menceritakan Ry, mahasiswi dengan penyakit kronis pergi berlibur ke Mallorca bersama ibunya. Saat dia jatuh cinta kepada Julián dan mulai menikmati hidupnya saat ini, penyakitnya makin parah dan rahasia keluarga yang lama terpendam mengungkapkan semuanya sebelum musim panas berakhir."
1084244,Toy Story 5,17 Juni 2026,8.35,2063,Animation | Family | Comedy | Adventure,,https://www.themoviedb.org/movie/1084244,https://image.tmdb.org/t/p/w500/sfQtVlIHljToOwYjhe21KPGzZWK.jpg,
1560520,Batman: Knightfall Part 1: Knightfall,23 Juni 2026,9.166,262,Animation | Action | Adventure | Science Fiction,,https://www.themoviedb.org/movie/1560520,https://image.tmdb.org/t/p/w500/360qdtu2hLnqMu8SVHMywn420w1.jpg,
1621552,La captura,21 Agustus 2026,8.787,581,Crime | Action | Thriller,,https://www.themoviedb.org/movie/1621552,https://image.tmdb.org/t/p/w500/iwCeOpuBtuTP1kLosqgniey5OvX.jpg,
1294189,The Mongoose,30 Oktober 2026,0,0,Action | Thriller,,https://www.themoviedb.org/movie/1294189,https://image.tmdb.org/t/p/w500/eSS5mvSG84UUuvtbHel5Yu3Wik4.jpg,
1514682,Above & Below,29 Juli 2026,6.2,25,Action | Thriller | Horror | Crime,,https://www.themoviedb.org/movie/1514682,https://image.tmdb.org/t/p/w500/7bOuu1SRALGwsG2fLCTvRkCmQBj.jpg,
1323244,Rage of Stars,6 Agustus 2026,5.9,79,Action | Science Fiction | Thriller,,https://www.themoviedb.org/movie/1323244,https://image.tmdb.org/t/p/w500/oLld47ZT1I3iecM3OWhIphohQUJ.jpg,
1315772,Minions & Monsters,24 Juni 2026,7.555,1064,Adventure | Animation | Comedy | Family | Fantasy,,https://www.themoviedb.org/movie/1315772,https://image.tmdb.org/t/p/w500/4LwvU9SZc8QQzW1X1FAPhNbXnEU.jpg,
1213243,ಟಾಕ್ಸಿಕ್,26 Agustus 2026,7.944,71,Action | Crime | Drama,,https://www.themoviedb.org/movie/1213243,https://image.tmdb.org/t/p/w500/oiIPU4lvnI0Ag2K9cyAi44eCaoE.jpg,
1232569,Pinocchio: Unstrung,22 Juli 2026,6.597,93,Horror | Fantasy | Mystery,,https://www.themoviedb.org/movie/1232569,https://image.tmdb.org/t/p/w500/eUJXk3bTvLBi5Zcb0BCedZU7lVL.jpg,
860508,The Whisper Man,27 Agustus 2026,6.808,568,Crime | Drama | Thriller,,https://www.themoviedb.org/movie/860508,https://image.tmdb.org/t/p/w500/6UqflU8Qqkz7Dq4swJPqs0ZJjY4.jpg,"Saat putra kecilnya hilang, seorang duda meminta bantuan ayahnya yang lama terpisah, pensiunan detektif yang menangkap pembunuh berantai yang kini terkait kasus itu."
1130948,Rosebush Pruning,23 April 2026,6.134,41,Comedy | Drama | Thriller,,https://www.themoviedb.org/movie/1130948,https://image.tmdb.org/t/p/w500/rsHEVjzxU8cxz1sm3vboj99daNv.jpg,
1440098,Enfrentados: Marfil,9 September 2026,6.944,18,Romance | Drama | Thriller,,https://www.themoviedb.org/movie/1440098,https://image.tmdb.org/t/p/w500/umlft1ztFbUcnHf960pXJocjpdv.jpg,
1275779,Disclosure Day,10 Juni 2026,7.469,3250,Science Fiction | Thriller,,https://www.themoviedb.org/movie/1275779,https://image.tmdb.org/t/p/w500/AnJ8IQJI23hNpYXVNaythu061Ru.jpg,"Jika Anda mengetahui bahwa kita tidak sendirian, jika seseorang menunjukkannya kepada Anda, membuktikannya kepada Anda, apakah itu akan membuat Anda takut?"
1273221,Scary Movie,3 Juni 2026,6.41,1841,Comedy,,https://www.themoviedb.org/movie/1273221,https://image.tmdb.org/t/p/w500/znHT8peERZRWG1ME3r0Db0EV8k8.jpg,
1180894,Bajo tus pies,19 Februari 2026,5.091,11,Horror,,https://www.themoviedb.org/movie/1180894,https://image.tmdb.org/t/p/w500/fQTACeQLpFoMUqYitxY0DMzfQu9.jpg,
687163,Project Hail Mary,15 Maret 2026,8.643,7635,Science Fiction | Adventure,,https://www.themoviedb.org/movie/687163,https://image.tmdb.org/t/p/w500/yihdXomYb5kTeSivtFndMy5iDmf.jpg,
1083381,Backrooms,27 Mei 2026,7.052,3201,Horror | Mystery | Science Fiction,,https://www.themoviedb.org/movie/1083381,https://image.tmdb.org/t/p/w500/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,"Setelah pasien seorang terapis menghilang ke dimensi di luar realitas, dia harus menjelajah ke tempat yang tidak dikenal untuk menyelamatkannya."
1101412,Fall 2: Deadpoint,1 September 2026,6.7,23,Thriller,,https://www.themoviedb.org/movie/1101412,https://image.tmdb.org/t/p/w500/fgSm5ylwiXbIHn8UbUXDjk9RRu4.jpg,
1228710,The Mandalorian and Grogu,20 Mei 2026,7.5,1544,Action | Adventure | Science Fiction,,https://www.themoviedb.org/movie/1228710,https://image.tmdb.org/t/p/w500/fsSMj6TJ6qtMnpg6UIw8TzUeEyE.jpg,
1433367,One Night Only,28 Juli 2026,6.8,87,Comedy | Romance,,https://www.themoviedb.org/movie/1433367,https://image.tmdb.org/t/p/w500/46q8z1TbbVcF8uhRHsvt5s0h2SH.jpg,
980431,Avatar Aang: The Last Airbender,24 Juli 2026,9.165,1085,Animation | Adventure | Fantasy,,https://www.themoviedb.org/movie/980431,https://image.tmdb.org/t/p/w500/3sgnSfNT27Bx5O5ukr7B26mhEQq.jpg,
1284465,The Death of Robin Hood,18 Juni 2026,6.226,292,Adventure | Drama | Action,,https://www.themoviedb.org/movie/1284465,https://image.tmdb.org/t/p/w500/13MmRwmG5NmaMfU8qNrtgGXisiD.jpg,
634649,Spider-Man: No Way Home,15 Desember 2021,7.946,23057,Action | Adventure | Science Fiction,,https://www.themoviedb.org/movie/634649,https://image.tmdb.org/t/p/w500/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,"Peter Parker menghadapi masalah besar. Hal ini terjadi setelah identitasnya sebagai Spiderman terungkap. Dengan kepergian Tony Stark, Peter Parker pun harus meminta bantuan Doctor Strange agar semua orang bisa melupakan identitasnya sebagai manusia laba-laba."
278,The Shawshank Redemption,23 September 1994,8.73,31282,Drama | Crime,,https://www.themoviedb.org/movie/278,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,
1599993,Animales,5 Februari 2026,6.2,40,Comedy | Thriller,,https://www.themoviedb.org/movie/1599993,https://image.tmdb.org/t/p/w500/9fbZdiOI9fRinl44mNm3CYgEtYR.jpg,
755898,War of the Worlds,29 Juli 2025,4.02,1125,Science Fiction | Thriller,,https://www.themoviedb.org/movie/755898,https://image.tmdb.org/t/p/w500/yvirUYrva23IudARHn3mMGVxWqM.jpg,"Will Radford adalah seorang analis keamanan siber terkemuka untuk Departemen Keamanan Dalam Negeri yang melacak potensi ancaman terhadap keamanan nasional melalui program pengawasan massal, hingga suatu hari sebuah serangan oleh entitas tak dikenal membuatnya mempertanyakan apakah pemerintah menyembunyikan sesuatu darinya... dan dari seluruh dunia."
1127384,Deep Water,30 April 2026,7.1,475,Horror | Thriller,,https://www.themoviedb.org/movie/1127384,https://image.tmdb.org/t/p/w500/ZWHxL2ETItcZzeVsVfs6gv3SZ7.jpg,
1081003,Supergirl,24 Juni 2026,6.7,2203,Action | Adventure | Science Fiction,,https://www.themoviedb.org/movie/1081003,https://image.tmdb.org/t/p/w500/qn4wWonvYGQbf8X4s2VwIqv1acc.jpg,
1355228,गांधारी,3 September 2026,5.063,8,Action | Drama | Thriller,,https://www.themoviedb.org/movie/1355228,https://image.tmdb.org/t/p/w500/hCHei97aPYCCsh4vicz9X0wmdFV.jpg,
1311031,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,18 Juli 2025,8.783,2105,Animation | Action | Fantasy,,https://www.themoviedb.org/movie/1311031,https://image.tmdb.org/t/p/w500/qjyWDOYokheTTWLMzwJAuvSJeYg.jpg,
299536,Avengers: Infinity War,25 April 2018,8.242,32848,Adventure | Action | Science Fiction,,https://www.themoviedb.org/movie/299536,https://image.tmdb.org/t/p/w500/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,"Karena Avengers dan sekutunya terus melindungi dunia dari ancaman yang terlalu besar untuk ditangani oleh seorang pahlawan, bahaya baru telah muncul dari bayangan kosmik: Thanos. Seorang lalim penghujatan intergalaksi, tujuannya adalah untuk mengumpulkan semua enam Batu Infinity, artefak kekuatan yang tak terbayangkan, dan menggunakannya untuk menimbulkan kehendak memutar pada semua realitas. Segala sesuatu yang telah diperjuangkan oleh Avengers telah berkembang hingga saat ini - nasib Bumi dan keberadaannya sendiri tidak pernah lebih pasti."
194117,La donna della luna,31 Maret 1988,5.6,8,Drama | Romance | Crime,,https://www.themoviedb.org/movie/194117,https://image.tmdb.org/t/p/w500/6uiz2xx61qhGv3ZcZg0n5tgahY3.jpg,
1419406,捕风追影,16 Agustus 2025,8.233,1367,Action | Crime | Drama | Thriller,,https://www.themoviedb.org/movie/1419406,https://image.tmdb.org/t/p/w500/o25Tk1FYQi2BLk0OEAvx2h69QvB.jpg,
1625673,Blood Covenant,26 Mei 2026,5.5,2,Horror,,https://www.themoviedb.org/movie/1625673,https://image.tmdb.org/t/p/w500/1lskMEArKsp7pzQck90q6ttXAbn.jpg,
1084242,Zootopia 2,26 November 2025,7.675,3402,Animation | Adventure | Comedy | Mystery | Family,,https://www.themoviedb.org/movie/1084242,https://image.tmdb.org/t/p/w500/nT1tuba9NBCzraZRwTvFpoSJZk.jpg,"Setelah berhasil menyelesaikan kasus terbesar dalam sejarah Zootopia, dua polisi pemula Judy Hopps dan Nick Wilde menyadari bahwa kemitraan mereka tidak sekuat yang mereka kira ketika Kepala Bogo memerintahkan mereka untuk mengikuti program konseling “Partners in Crisis”. Namun, tidak lama kemudian, kemitraan mereka diuji hingga batasnya ketika mereka terjebak dalam jejak misterius yang terkait dengan kedatangan ular berbisa di kota metropolis hewan tersebut."
1226863,The Super Mario Galaxy Movie,1 April 2026,8.231,3644,Family | Comedy | Adventure | Fantasy | Animation,,https://www.themoviedb.org/movie/1226863,https://image.tmdb.org/t/p/w500/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,
1480574,Just Play Dead,28 Agustus 2026,6.485,33,Thriller | Crime,,https://www.themoviedb.org/movie/1480574,https://image.tmdb.org/t/p/w500/glALx6QaIgw1u4joXsnfHTjWi6D.jpg,
157336,Interstellar,5 November 2014,8.487,41100,Adventure | Drama | Science Fiction,,https://www.themoviedb.org/movie/157336,https://image.tmdb.org/t/p/w500/yQvGrMoipbRoddT0ZR8tPoR7NfX.jpg,Antarbintang mencatat petualangan sekelompok penjelajah yang memanfaatkan lubang cacing yang baru ditemukan untuk melampaui batasan perjalanan ruang angkasa manusia dan menaklukkan jarak yang luas yang terlibat dalam pelayaran antarbintang.
24428,The Avengers,25 April 2012,8.074,39647,Science Fiction | Action | Adventure,,https://www.themoviedb.org/movie/24428,https://image.tmdb.org/t/p/w500/kRK4AKBQEWcmIF9lvkt5qxSwQ28.jpg,"Ketika musuh yang tak terduga muncul, mengancam keselamatan dan keamanan dunia, Nick Fury, direktur Badan Perdamaian Internasional, dikenal sebagai S.H.I.E.L.D. , membutuhkan tim untuk menyelamatkan dunia dari bencana. Usaha perekrutan pun dimulai  Iron Man, Captain America, Hulk, Thor, Black Widow dan Hawkeye dikumpulkan untuk menaklukkan Dewa Kehancuran, Loki, dalam usahanya menghancurkan bumi. Dengan semua gabungan kekuatan, tugas nampak lebih mudah. Namun kenyatannya tidak demikian!  Para pahlawan super justru saling melawan satu sama lain  Hulk melawan Captain America, siapa yang akan menang? Apakah Iron Man dapat mengalahkan kekuatan super milik Thor? Bagaimana para pahlawan super ini secara bersama-sama menghadapi bencana, melindungi masyarakat dan yang terpenting, bertahan hidup?"
1594914,Lucky Strike,26 Juni 2026,6.89,41,Action | War,,https://www.themoviedb.org/movie/1594914,https://image.tmdb.org/t/p/w500/7AEBdyGYXumXWmMFeynE8227KeZ.jpg,
454639,Masters of the Universe,3 Juni 2026,7.145,2081,Action | Fantasy | Science Fiction,,https://www.themoviedb.org/movie/454639,https://image.tmdb.org/t/p/w500/oRuyGUHdoaQxWP3SDfafGkStxTC.jpg,
83533,Avatar: Fire and Ash,17 Desember 2025,7.647,4289,Science Fiction | Adventure | Fantasy,,https://www.themoviedb.org/movie/83533,https://image.tmdb.org/t/p/w500/bRBeSHfGHwkEpImlhxPmOcUsaeg.jpg,
